"icao","iata","name","city","country","latitude","longitude"
"HLON","HUQ","Hon Airport","Hon","Libya","29.11009979","15.96560001"
"HLRA","","Dahra Airport","Dahra","Libya","29.47260094","17.93490028"
"HLTD","LTD","Ghadames East Airport","Ghadames","Libya","30.15169907","9.715310097"
"HLUB","QUB","Ubari Airport","Ubari","Libya","26.56749916","12.82310009"
"HLZA","","Zella 74 Airport","Zella 74","Libya","28.58989906","17.29389954"
"HLZN","ZIS","Alzintan Airport","Zintan","Libya","31.774878","12.25006"
"HLZW","WAX","Zwara Airport","Zuwara","Libya","32.95230103","12.01550007"
"HRYG","GYI","Gisenyi Airport","Gisenyi","Rwanda","-1.67719996","29.25889969"
"HRYI","BTQ","Butare Airport","Butare","Rwanda","-2.595829964","29.73670006"
"HRYR","KGL","Kigali International Airport","Kigali","Rwanda","-1.96863","30.1395"
"HRYU","RHG","Ruhengeri Airport","Ruhengeri","Rwanda","-1.5","29.63299942"
"HRZA","KME","Kamembe Airport","Kamembe","Rwanda","-2.462239981","28.90789986"
"HSAT","ATB","Atbara Airport","Atbara","Sudan","17.71034431","34.05701828"
"HSAW","","Aweil Airport","Aweil","Sudan","8.767000198","27.39999962"
"HSDB","EDB","El Debba Airport","El Debba","Sudan","18.0146","30.9595"
"HSDN","DOG","Dongola Airport","Dongola","Sudan","19.15390015","30.43009949"
"HSDZ","RSS","Damazin Airport","Damazin","Sudan","11.7859","34.3367"
"HSFA","HGI","Paloich Airport, Heliport","Higleig","South Sudan","10.529167","32.500556"
"HSFS","ELF","El Fasher Airport","El Fasher","Sudan","13.61489964","25.32460022"
"HSGF","GSU","Azaza Airport","Gedaref","Sudan","14.13300037","35.31700134"
"HSGG","DNX","Galegu Airport","Dinder","Sudan","12.53299999","35.06700134"
"HSGN","EGN","Geneina Airport","Geneina","Sudan","13.48169994","22.46719933"
"HSHG","HEG","Heglig Airport","Heglig Oilfield","Sudan","9.994933","29.397718"
"HSKA","KSL","Kassala Airport","Kassala","Sudan","15.38749981","36.3288002"
"HSKG","GBU","Khashm El Girba Airport","Khashm El Girba","Sudan","14.92500019","35.87799835"
"HSKI","KST","Kosti Airport","Kosti","Sudan","13.18299961","32.73300171"
"HSLI","KDX","Kadugli Airport","Kadugli","Sudan","11.13799953","29.7010994"
"HSMK","RBX","Rumbek Airport","Rumbek","Sudan","6.824999809","29.66900063"
"HSMN","MWE","Merowe New Airport","Merowe","Sudan","18.44333333","31.84333333"
"HSNH","NUD","En Nahud Airport","En Nahud","Sudan","12.66699982","28.33300018"
"HSNN","UYL","Nyala Airport","Nyala","Sudan","12.05350018","24.95619965"
"HSNW","NHF","New Halfa Airport","New Halfa","Sudan","15.35560036","35.72779846"
"HSOB","EBD","El Obeid Airport","El Obeid","Sudan","13.15320015","30.23270035"
"HSPN","PZU","Port Sudan New International Airport","Port Sudan","Sudan","19.43359947","37.23410034"
"HSRN","","Renk Airport","Huangshan","China","11.83246927","32.81049728"
"HSSJ","JUB","Juba International Airport","Juba","South Sudan","4.872010231","31.60110092"
"HSSM","MAK","Malakal Airport","Malakal","Sudan","9.558970451","31.6522007"
"HSSS","KRT","Khartoum International Airport","Khartoum","Sudan","15.58950043","32.55319977"
"HSSW","WHF","Wadi Halfa Airport","Wadi Halfa","Sudan","21.80269814","31.52157784"
"HSTR","","Torit Airport","Torit","South Sudan","4.400000095","32.58300018"
"HSWD","DNI","Wad Medani Airport","Wad Medani","Sudan","14.383605","33.526387"
"HSWW","WUU","Wau Airport","Wau","Sudan","7.725830078","27.97500038"
"HSYE","","Yei Airport","Yei","Sudan","4.130281601","30.72807312"
"HSZA","ZLX","Zalingei Airport","Zalingei","Sudan","12.9437","23.5631"
"HTAR","ARK","Arusha Airport","Arusha","Tanzania","-3.367789984","36.63330078"
"HTBU","BKZ","Bukoba Airport","Bukoba","Tanzania","-1.332","31.8212"
"HTDA","DAR","Julius Nyerere International Airport","Dar Es Salaam","Tanzania","-6.87811","39.202599"
"HTDO","DOD","Dodoma Airport","Dodoma","Tanzania","-6.170440197","35.75260162"
"HTGR","GTZ","Kirawira B Aerodrome","Grumeti Game Reserve","Tanzania","-2.160833","34.225556"
"HTGW","MBI","Songwe Airport","Mbeya","Tanzania","-8.919942","33.273981"
"HTIR","IRI","Iringa Airport","Iringa","Tanzania","-7.668630123","35.7521019"
"HTKA","TKQ","Kigoma Airport","Kigoma","Tanzania","-4.8862","29.6709"
"HTKI","KIY","Kilwa Masoko Airport","Kilwa Masoko","Tanzania","-8.91123","39.508619"
"HTKJ","JRO","Kilimanjaro International Airport","Kilimanjaro","Tanzania","-3.429409981","37.07450104"
"HTLI","LDI","Lindi Airport","Lindi","Tanzania","-9.85111","39.757801"
"HTLM","LKY","Lake Manyara Airport","Lake Manyara","Tanzania","-3.37631011","35.81829834"
"HTMA","MFA","Mafia Island Airport","Mafia Island","Tanzania","-7.917478","39.668502"
"HTMB","","Mbeya Airport","Mbeya","Tanzania","-8.919444","33.463889"
"HTMD","MWN","Mwadui Airport","Mwadui","Tanzania","-3.521332","33.615542"
"HTMG","","Morogoro Airport","Morogoro","Tanzania","-6.79722023","37.65309906"
"HTMI","XMI","Masasi Airport","Masasi","Tanzania","-10.7329998","38.76699829"
"HTMP","","Mpanda Airport","Mpanda","Tanzania","-6.355374","31.084116"
"HTMR","","Msembe Airport","Msembe","Tanzania","-7.684811","34.922282"
"HTMS","QSI","Moshi Airport","Moshi","Tanzania","-3.363329887","37.32690048"
"HTMT","MYW","Mtwara Airport","Mtwara","Tanzania","-10.33909988","40.18180084"
"HTMU","MUZ","Musoma Airport","Musoma","Tanzania","-1.503","33.8021"
"HTMW","MWZ","Mwanza Airport","Mwanza","Tanzania","-2.444489956","32.93270111"
"HTNA","NCH","Nachingwea Airport","Nachingwea","Tanzania","-10.35750008","38.77920151"
"HTNJ","JOM","Njombe Airport","Njombe","Tanzania","-9.350000381","34.79999924"
"HTPE","PMA","Pemba Airport","Pemba","Tanzania","-5.257259846","39.81140137"
